time_step,action,price,soc,reward,cumulative_reward
214,IDLE,100.39,0.2,0.0,486.7719300518467
215,IDLE,90.85,0.2,0.0,486.7719300518467
216,IDLE,87.21,0.2,0.0,486.7719300518467
217,IDLE,96.86,0.2,0.0,486.7719300518467
218,IDLE,90.24,0.2,0.0,486.7719300518467
219,IDLE,85.95,0.2,0.0,486.7719300518467
220,CHARGE,85.58,0.2,-54.12554443144199,432.6463856204047
221,IDLE,87.64,0.8,0.0,432.6463856204047
222,IDLE,107.16,0.8,0.0,432.6463856204047
223,IDLE,121.12,0.8,0.0,432.6463856204047
224,IDLE,172.79,0.8,0.0,432.6463856204047
225,DISCHARGE,244.2,0.8,139.00107683036128,571.6474624507659
226,IDLE,181.78,0.2,0.0,571.6474624507659
227,IDLE,125.79,0.2,0.0,571.6474624507659
228,IDLE,139.66,0.2,0.0,571.6474624507659
229,IDLE,128.75,0.2,0.0,571.6474624507659
230,CHARGE,114.9,0.2,-72.66914063066938,498.97832182009654
231,IDLE,137.62,0.8,0.0,498.97832182009654
232,IDLE,166.95,0.8,0.0,498.97832182009654
233,DISCHARGE,176.79,0.8,100.6306321574102,599.6089539775068
234,IDLE,144.12,0.2,0.0,599.6089539775068
235,IDLE,125.32,0.2,0.0,599.6089539775068
236,IDLE,123.03,0.2,0.0,599.6089539775068
237,IDLE,122.91,0.2,0.0,599.6089539775068
238,IDLE,103.94,0.2,0.0,599.6089539775068
239,IDLE,94.91,0.2,0.0,599.6089539775068
240,CHARGE,84.11,0.2,-53.19583479935249,546.4131191781543
241,IDLE,84.67,0.8,0.0,546.4131191781543
242,IDLE,91.25,0.8,0.0,546.4131191781543
243,IDLE,94.94,0.8,0.0,546.4131191781543
244,IDLE,96.26,0.8,0.0,546.4131191781543
245,IDLE,116.05,0.8,0.0,546.4131191781543
246,DISCHARGE,134.99,0.8,76.83765504230333,623.2507742204576
247,CHARGE,104.78,0.2,-66.26869064648857,556.982083573969
248,DISCHARGE,126.22,0.8,71.84568352796153,628.8277671019306
249,IDLE,111.78,0.2,0.0,628.8277671019306
250,IDLE,102.31,0.2,0.0,628.8277671019306
251,IDLE,101.05,0.2,0.0,628.8277671019306
252,CHARGE,91.57,0.2,-57.91395306832371,570.9138140336069
253,IDLE,100.04,0.8,0.0,570.9138140336069
254,IDLE,103.85,0.8,0.0,570.9138140336069
255,IDLE,113.13,0.8,0.0,570.9138140336069
256,IDLE,118.22,0.8,0.0,570.9138140336069
257,IDLE,121.57,0.8,0.0,570.9138140336069
258,DISCHARGE,136.59,0.8,77.74839100843181,648.6622050420386
259,IDLE,118.14,0.2,0.0,648.6622050420386
260,IDLE,113.59,0.2,0.0,648.6622050420386
261,IDLE,106.2,0.2,0.0,648.6622050420386
262,IDLE,112.57,0.2,0.0,648.6622050420386
263,IDLE,103.04,0.2,0.0,648.6622050420386
264,IDLE,108.78,0.2,0.0,648.6622050420386
265,IDLE,90.76,0.2,0.0,648.6622050420386
266,IDLE,93.52,0.2,0.0,648.6622050420386
267,IDLE,87.06,0.2,0.0,648.6622050420386
268,CHARGE,83.07,0.2,-52.53808104603746,596.1241239960011
269,IDLE,89.73,0.8,0.0,596.1241239960011
270,IDLE,99.9,0.8,0.0,596.1241239960011
271,IDLE,119.74,0.8,0.0,596.1241239960011
272,IDLE,125.47,0.8,0.0,596.1241239960011
273,DISCHARGE,126.73,0.8,72.13598061716498,668.260104613166
274,CHARGE,106.97,0.2,-67.65376826164231,600.6063363515237
275,IDLE,118.0,0.8,0.0,600.6063363515237
276,IDLE,110.09,0.8,0.0,600.6063363515237
277,IDLE,108.55,0.8,0.0,600.6063363515237
278,IDLE,108.04,0.8,0.0,600.6063363515237
279,IDLE,122.23,0.8,0.0,600.6063363515237
280,IDLE,111.19,0.8,0.0,600.6063363515237
